Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v3.0 Base Score,CVSS Temporal Score,CVSS v3.0 Temporal Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10335","","","None","assetinventory-fedramp-prod-canary.cccoieb0qyzh.us-east-1.rds.amazonaws.com","tcp","5432","Nessus TCP scanner","It is possible to determine which TCP ports are open.","This plugin is a classical TCP port scanner. 
It shall be reasonably quick even against a firewalled target.

Once a TCP connection is open, it grabs any available banner
for the service identification plugins.

Note that TCP scanners are more intrusive than 
SYN (half open) scanners.","Protect your target with an IP filter.","","Port 5432/tcp was found to be open","","","","","None","","","","2009/02/04","2020/06/12","","",""
"19506","","","None","assetinventory-fedramp-prod-canary.cccoieb0qyzh.us-east-1.rds.amazonaws.com","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - Whether credentialed or third-party patch management
    checks are possible.
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 8.10.1
Plugin feed version : 202006301903
Scanner edition used : Nessus
Scan type : Normal
Scan policy used : Advanced Dynamic Scan
Scanner IP : 10.104.2.10
Port scanner(s) : nessus_tcp_scanner 
Port range : 5432
Thorough tests : no
Experimental tests : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : yes
Credentialed checks : no
Patch management checks : None
CGI scanning : disabled
Web application tests : disabled
Max hosts : 30
Max checks : 5
Recv timeout : 5
Backports : None
Allow post-scan editing: Yes
Scan duration : unknown
","","","","","None","","","","2005/08/26","2020/06/12","","",""
"26024","","","None","assetinventory-fedramp-prod-canary.cccoieb0qyzh.us-east-1.rds.amazonaws.com","tcp","5432","PostgreSQL Server Detection","A database service is listening on the remote host.","The remote service is a PostgreSQL database server, or a derivative
such as EnterpriseDB.","Limit incoming traffic to this port if desired.","https://www.postgresql.org/","","","","","","None","","","","2007/09/14","2019/11/22","","",""
"63346","","","None","assetinventory-fedramp-prod-canary.cccoieb0qyzh.us-east-1.rds.amazonaws.com","tcp","5432","PostgreSQL Version Detection","It was possible to gather database version information with the
supplied credentials.","It was possible to query the remote PostgreSQL database to determine
the version number with the supplied credentials.","n/a","","
  Source        : PostgreSQL 11.7 on x86_64-pc-linux-gnu, compiled by gcc (GCC) 4.8.5 20150623 (Red Hat 4.8.5-11), 64-bit
  Version       : 11.7
  Database name : postgres
","","","","","None","","","","2012/12/28","2020/06/12","","",""
"91826","","","None","assetinventory-fedramp-prod-canary.cccoieb0qyzh.us-east-1.rds.amazonaws.com","tcp","5432","PostgreSQL Server Login Possible","It was possible to log into the remote database.","Nessus was able to log into the remote PostgreSQL server using the
supplied credentials.","n/a","https://www.postgresql.org/","Credentialed checks have been enabled for PostgreSQL server on port 5432.","","","","","None","","","","2016/06/24","2020/06/12","","",""
"118224","","","None","assetinventory-fedramp-prod-canary.cccoieb0qyzh.us-east-1.rds.amazonaws.com","tcp","5432","PostgreSQL STARTTLS Support","The remote service supports encrypting traffic.","The remote PostgreSQL server supports the use of encryption
initiated during pre-login to switch from a cleartext to an
encrypted communications channel.","n/a","https://www.postgresql.org/docs/9.2/protocol-flow.html#AEN96066
https://www.postgresql.org/docs/9.2/protocol-message-formats.html","
Here is the PostgreSQL's SSL certificate that Nessus
was able to collect after sending a pre-login packet :

------------------------------ snip ------------------------------
Subject Name: 

Common Name: assetinventory-fedramp-prod-canary.cccoieb0qyzh.us-east-1.rds.amazonaws.com
Organization Unit: RDS
Organization: Amazon.com
Locality: Seattle
State/Province: Washington
Country: US

Issuer Name: 

Country: US
State/Province: Washington
Locality: Seattle
Organization: Amazon Web Services, Inc.
Organization Unit: Amazon RDS
Common Name: Amazon RDS us-east-1 2019 CA

Serial Number: 00 F5 63 9E 7E 1A 9C BA 83 22 98 F6 A1 63 57 F1 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Dec 22 01:04:36 2019 GMT
Not Valid After: Aug 22 17:08:50 2024 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 8C 89 11 F1 CE 3D 60 D8 4E 71 6F E8 4B 4F 6F 4D 18 C5 26 
            A8 B6 6D A9 9E A6 17 32 FC 47 96 1E 52 8C 0D 96 0F E4 A8 C0 
            46 F8 5C D9 73 B2 33 5B AC 37 07 2D 7C 12 57 EF 2B AB 92 01 
            04 AD 34 4B AC 31 01 60 29 28 66 61 EF BC E8 EE 27 4C 7F 78 
            4C 47 47 C3 0D 4B 57 FB 4D 3A 36 22 AF DF 88 EA 6D 30 75 9B 
            EA D2 36 1A FF 13 BA BD FD B9 7C 4B 17 2D 6D B7 3D FC F4 19 
            A3 6B 45 F0 C2 57 50 31 18 EF 6B E3 B4 7A 76 0D 68 F9 2E FF 
            D3 3F BC DC 7F C0 80 9D C1 84 1D 4C 4F 71 78 7B 99 00 A6 32 
            B2 2E 04 EC B6 59 2B 62 6C 36 5F 46 42 04 49 2D A8 18 1C 20 
            D0 6A 6A B4 6F D8 CB 62 E9 22 11 B3 77 25 CE 68 67 B6 3C 2E 
            59 FA 81 06 1D E7 95 17 D2 79 60 2A 4D 17 F7 A4 F8 33 31 14 
            CD 2A 45 89 65 D4 F7 CD 73 97 4E 1C 64 CE A5 40 10 98 E6 E4 
            7F 38 36 F0 37 79 78 6F 69 F2 98 3E 72 69 BD D8 7B 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 27 BF 50 C8 79 76 58 9D 42 0E 1B 7D 5F E0 DD ED 09 AC 07 
           05 6C 89 CE 44 56 B6 C2 B9 52 FC 07 80 9C A9 8D 95 8C 10 AB 
           30 EE D1 8B 16 76 12 61 08 CC BC 3E CA C5 58 74 33 03 20 81 
           98 66 09 95 40 F8 64 95 F6 82 C9 5E A4 F6 25 A7 39 DE 40 76 
           CC A3 0A 0D EE 6A 77 FE BA 59 46 E6 B6 FC 73 35 F6 B8 17 C8 
           9B 6F 21 55 A3 28 53 FC 44 17 D2 D5 FE 98 98 CB E9 AD 5A 04 
           B0 D6 AF 52 D0 E7 2F F6 63 42 F2 4A 0C 96 8A D6 F3 76 32 3E 
           60 9F F6 D4 FE 41 C5 64 CC D9 29 17 F1 C7 4B 6D E1 26 73 63 
           15 9D C7 69 BA 69 BC E4 49 18 9D 9C 53 E9 05 0E 35 F9 15 2E 
           D6 78 39 19 00 30 59 FF DF 89 69 1F 4A 69 DE B5 B7 4D 91 7C 
           7A 4D 36 97 13 DF 32 D2 36 32 A7 AC DB 73 40 F9 D6 9F 90 05 
           00 8F 20 6D 2D 75 6A 8F 66 1A 11 C4 02 CB DE FD 8F 86 FD 48 
           84 25 EF 12 A9 90 14 64 C1 3D E5 C3 AC 30 97 7D 5A 

Extension: Authority Key Identifier (2.5.29.35)
Critical: 0
Key Identifier: FA A1 A1 66 5C AD 56 3D 99 4E ED B9 E9 91 44 19 D0 22 3D 63 
Country: US
Locality: Seattle
State/Province: Washington
Organization: Amazon Web Services, Inc.
Organization Unit: Amazon RDS
Common Name: Amazon RDS Root 2019 CA
Serial Number: 25 55 


Extension: Subject Key Identifier (2.5.29.14)
Critical: 0
Subject Key Identifier: 0B C5 90 D6 4A 7D 56 EE 30 B1 C3 2B 69 0B D6 90 D8 9F 1C 27 



------------------------------ snip ------------------------------
","","","","","None","","","","2018/10/19","2018/11/15","","",""
"137078","CVE-2020-10733","4.4","Medium","assetinventory-fedramp-prod-canary.cccoieb0qyzh.us-east-1.rds.amazonaws.com","tcp","5432","PostgreSQL 9.5.x < 9.5.22 / 9.6.x < 9.6.18 / 10.x < 10.13 / 11.x < 11.8 / 12.x < 12.3 Arbitrary Code Execution Vulnerability","The remote database server is affected by a vulnerability","The version of PostgreSQL installed on the remote host is 9.5 prior to 9.5.22, 9.6 prior to 9.6.18, 10 prior to 10.13,
11 prior to 11.8, or 12 prior to 12.3. As such, it is potentially affected by a which allows a Windows installer 
the ability to run executables from uncontrolled directories, resulting in an arbitrary code execution vulenrability.
(CVE-2020-10733).  

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version
number.","Upgrade to PostgreSQL 9.5.22 / 9.6.18 / 10.13 / 11.8 / 12.3 or later","https://www.postgresql.org/about/news/2038/","
  Installed version : 11.7
  Fixed version     : 11.8
","","7.3","3.3","6.4","Medium","","","","2020/06/03","2020/06/08","","",""
"10335","","","None","assetinventory-fedramp-prod.cccoieb0qyzh.us-east-1.rds.amazonaws.com","tcp","5432","Nessus TCP scanner","It is possible to determine which TCP ports are open.","This plugin is a classical TCP port scanner. 
It shall be reasonably quick even against a firewalled target.

Once a TCP connection is open, it grabs any available banner
for the service identification plugins.

Note that TCP scanners are more intrusive than 
SYN (half open) scanners.","Protect your target with an IP filter.","","Port 5432/tcp was found to be open","","","","","None","","","","2009/02/04","2020/06/12","","",""
"19506","","","None","assetinventory-fedramp-prod.cccoieb0qyzh.us-east-1.rds.amazonaws.com","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - Whether credentialed or third-party patch management
    checks are possible.
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 8.10.1
Plugin feed version : 202006301903
Scanner edition used : Nessus
Scan type : Normal
Scan policy used : Advanced Dynamic Scan
Scanner IP : 10.104.2.10
Port scanner(s) : nessus_tcp_scanner 
Port range : 5432
Thorough tests : no
Experimental tests : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : yes
Credentialed checks : no
Patch management checks : None
CGI scanning : disabled
Web application tests : disabled
Max hosts : 30
Max checks : 5
Recv timeout : 5
Backports : None
Allow post-scan editing: Yes
Scan duration : unknown
","","","","","None","","","","2005/08/26","2020/06/12","","",""
"26024","","","None","assetinventory-fedramp-prod.cccoieb0qyzh.us-east-1.rds.amazonaws.com","tcp","5432","PostgreSQL Server Detection","A database service is listening on the remote host.","The remote service is a PostgreSQL database server, or a derivative
such as EnterpriseDB.","Limit incoming traffic to this port if desired.","https://www.postgresql.org/","","","","","","None","","","","2007/09/14","2019/11/22","","",""
